order,qtype,question,option,count,percentage,status,is_correct,rank_score
1,THIS OR THAT,"First click of the course, no wrong answer: right now, are you a spreadsheet person or a code person?",Spreadsheet person,4,33.3,,False,
1,THIS OR THAT,"First click of the course, no wrong answer: right now, are you a spreadsheet person or a code person?",Code person,6,50.0,Highest Response,False,
2,TRUTH OR LIE,Two of these about your Lead Trainer are true. One is a lie. Which one is the lie?,I build AI and machine learning pipelines for public health risk prediction (Truth),7,58.3,Correct (Truth),True,
2,TRUTH OR LIE,Two of these about your Lead Trainer are true. One is a lie. Which one is the lie?,I build AI and machine learning pipelines for public health risk prediction (Lie),3,25.0,,False,
2,TRUTH OR LIE,Two of these about your Lead Trainer are true. One is a lie. Which one is the lie?,I am the technical lead for a neurogenetics registry and biobank (Truth),8,66.7,Correct (Truth),True,
2,TRUTH OR LIE,Two of these about your Lead Trainer are true. One is a lie. Which one is the lie?,I am the technical lead for a neurogenetics registry and biobank (Lie),2,16.7,,False,
2,TRUTH OR LIE,Two of these about your Lead Trainer are true. One is a lie. Which one is the lie?,I have never written production code in anything except Python (Truth),1,8.3,,False,
2,TRUTH OR LIE,Two of these about your Lead Trainer are true. One is a lie. Which one is the lie?,I have never written production code in anything except Python (Lie),9,75.0,Correct (Lie),True,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,automation,2,,Highest Response,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,coding knowledge,2,,Highest Response,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,etl,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,sme,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,automate,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,effective use of ai,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,employability,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,technical knowledge,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,knowledge,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,data interpretation,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,statistical thinking,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,machine learning,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,use of ai tools,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,data analysis,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,data modelling,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,predictive analytics,1,,,False,
4,WORD CLOUD,In one or two words: what do you most want to walk away with from this Data Science & AI course?,ai developer,1,,,False,
5,MULTIPLE CHOICE,What best describes where you are right now?,Upskilling in my current role,3,25.0,Highest Response,False,
5,MULTIPLE CHOICE,What best describes where you are right now?,Making a career pivot into data / AI,3,25.0,Highest Response,False,
5,MULTIPLE CHOICE,What best describes where you are right now?,Exploring - no fixed plan yet,1,8.3,,False,
5,MULTIPLE CHOICE,What best describes where you are right now?,Already work with data - want more depth,3,25.0,Highest Response,False,
6,RANKING,Rank these by what YOU most want to be able to do by week 25 (1st = most important),Tell a convincing story with data,10,83.3,Rank Score Sum: 36,False,36.0
6,RANKING,Rank these by what YOU most want to be able to do by week 25 (1st = most important),Build and evaluate machine learning models,10,83.3,Rank Score Sum: 34,False,34.0
6,RANKING,Rank these by what YOU most want to be able to do by week 25 (1st = most important),Deploy models and build with Generative AI,10,83.3,Rank Score Sum: 31,False,31.0
6,RANKING,Rank these by what YOU most want to be able to do by week 25 (1st = most important),"Wrangle data with SQL, APIs and pipelines",10,83.3,Rank Score Sum: 27,False,27.0
6,RANKING,Rank these by what YOU most want to be able to do by week 25 (1st = most important),"Write clean, confident Python",10,83.3,Rank Score Sum: 22,False,22.0
8,MULTIPLE CHOICE,Which operating system will you use for this course?,Windows 10 or 11,8,66.7,Highest Response,False,
8,MULTIPLE CHOICE,Which operating system will you use for this course?,macOS - Apple Silicon (M1/M2/M3/M4),2,16.7,,False,
8,MULTIPLE CHOICE,Which operating system will you use for this course?,macOS - older Intel Mac,0,0.0,,False,
8,MULTIPLE CHOICE,Which operating system will you use for this course?,Linux,0,0.0,,False,
8,MULTIPLE CHOICE,Which operating system will you use for this course?,Chromebook or tablet only,0,0.0,,False,
9,MULTIPLE CHOICE,The computer you will use for class - can you install software on it?,My own laptop - full admin rights,7,58.3,Highest Response,False,
9,MULTIPLE CHOICE,The computer you will use for class - can you install software on it?,Work laptop - I can install what I like,0,0.0,,False,
9,MULTIPLE CHOICE,The computer you will use for class - can you install software on it?,"Work laptop - locked down, IT approval needed",0,0.0,,False,
9,MULTIPLE CHOICE,The computer you will use for class - can you install software on it?,Shared or family computer,3,25.0,,False,
9,MULTIPLE CHOICE,The computer you will use for class - can you install software on it?,Not sure yet - I need to check,0,0.0,,False,
10,MULTIPLE CHOICE,Have you ever used a command line or terminal?,Never opened one,1,8.3,,False,
10,MULTIPLE CHOICE,Have you ever used a command line or terminal?,Only to paste commands someone gave me,3,25.0,,False,
10,MULTIPLE CHOICE,Have you ever used a command line or terminal?,"Comfortable with basics - cd, ls or dir, pip install",6,50.0,Highest Response,False,
10,MULTIPLE CHOICE,Have you ever used a command line or terminal?,Confident - I script and chain commands,0,0.0,,False,
10,MULTIPLE CHOICE,Have you ever used a command line or terminal?,I basically live in the terminal,0,0.0,,False,
11,MULTIPLE CHOICE,"If you do use a terminal, which one is it?",Windows PowerShell or Command Prompt,6,50.0,Highest Response,False,
11,MULTIPLE CHOICE,"If you do use a terminal, which one is it?",WSL or Ubuntu on Windows,0,0.0,,False,
11,MULTIPLE CHOICE,"If you do use a terminal, which one is it?",Mac Terminal or iTerm (zsh / bash),2,16.7,,False,
11,MULTIPLE CHOICE,"If you do use a terminal, which one is it?",Linux terminal (bash or zsh),0,0.0,,False,
11,MULTIPLE CHOICE,"If you do use a terminal, which one is it?","None yet, or I am not sure",2,16.7,,False,
13,MULTIPLE CHOICE,Git and GitHub - where are you today?,"Never heard of them, or the name only",6,50.0,Highest Response,False,
13,MULTIPLE CHOICE,Git and GitHub - where are you today?,I have an account but have never pushed anything,1,8.3,,False,
13,MULTIPLE CHOICE,Git and GitHub - where are you today?,I can clone and pull a repo,1,8.3,,False,
13,MULTIPLE CHOICE,Git and GitHub - where are you today?,I commit and push my own work regularly,0,0.0,,False,
13,MULTIPLE CHOICE,Git and GitHub - where are you today?,"I branch, merge and raise pull requests",2,16.7,,False,
14,SELECT ANSWER,Quick check: what is the difference between Git and GitHub?,Two names for the same thing,1,8.3,,False,
14,SELECT ANSWER,Quick check: what is the difference between Git and GitHub?,Git versions your code; GitHub hosts it,6,50.0,Correct Answer,True,
14,SELECT ANSWER,Quick check: what is the difference between Git and GitHub?,GitHub is a programming language,0,0.0,,False,
15,MULTIPLE CHOICE,How much of tonight's toolchain is already installed on that machine?,Nothing yet - starting from zero,3,25.0,Highest Response,False,
15,MULTIPLE CHOICE,How much of tonight's toolchain is already installed on that machine?,Python or Anaconda only,3,25.0,Highest Response,False,
15,MULTIPLE CHOICE,How much of tonight's toolchain is already installed on that machine?,Anaconda and VS Code,1,8.3,,False,
15,MULTIPLE CHOICE,How much of tonight's toolchain is already installed on that machine?,"All of it - Anaconda, VS Code and Git",1,8.3,,False,
15,MULTIPLE CHOICE,How much of tonight's toolchain is already installed on that machine?,Honestly not sure what is installed,2,16.7,,False,
